Dataset,Adjustment,Baseline,GaussianNB,RandomForest
Bladder Batch,Unadjusted,0.7017544,0.9079365,0.884127
,Scale,,0.6492063,0.7666667
,ComBat,,0.6968254,0.652381
,Confounded,,0.6730159,0.7460317
GSE37199,Unadjusted,0.6666667,0.6612319,0.6618357
,Scale,,0.6322464,0.7173913
,ComBat,,0.6467391,0.6896135
,Confounded,,0.6902174,0.6479469
MNIST,Unadjusted,0.1135,0.8236658,0.8748471
,Scale,,0.8160683,0.8767096
,ComBat,,0.8152686,0.8689831
,Confounded,,0.5997594,0.8003478
TCGA,Unadjusted,0.69795,0.6251933,0.7666899
,Scale,,0.6028491,0.761565
,ComBat,,0.6590746,0.7449106
,Confounded,,0.5313933,0.7145886
